"";"T.Atendimento"
"1";46,4521249353104
"2";22,4131909996128
"3";40,9396128927593
"4";16,5719461730575
"5";18,4376616980526
"6";24,5171926289058
"7";19,1096201819345
"8";21,4966005999332
"9";18,2590906813525
"10";46,1369114500279
"11";41,2628604392908
"12";43,7619500813566
"13";23,6130899385161
"14";15,1530942586701
"15";54,508684547924
"16";46,4824120821103
"17";19,3479328245402
"18";19,4545473820429
"19";18,2833267669142
"20";47,0789805445773
"21";15,1848022539846
"22";14,1259572205551
"23";17,0791165082887
"24";16,074490394876
"25";22,1590594659511
"26";27,4126184233326
"27";24,1028792194216
"28";48,4289323103067
"29";16,9075237422104
"30";12,7094426453526
"31";28,1414432809159
"32";20,1820497133039
"33";52,61873886375
"34";28,8263422087536
"35";42,6407686473471
"36";17,9695924596985
"37";35,7877471916961
"38";36,3161389863175
"39";37,2872114651269
"40";20,7366628841198
"41";43,1551633996056
"42";17,4606314086597
"43";14,5056516591868
"44";40,4160630376055
"45";20,4706124023218
"46";19,433422299206
"47";54,4814559575678
"48";42,8320475559054
"49";22,119744559549
"50";20,9899831998989
"51";48,0695880783545
"52";19,2893152082104
"53";19,034733108913
"54";23,6573068852445
"55";41,5356715910268
"56";21,2587475372108
"57";13,6972203052516
"58";11,832465425474
"59";47,967948084969
"60";24,7644707898255
"61";14,6137551518585
"62";18,4633449379703
"63";24,3909007717025
"64";63,9465071801514
"65";16,3090067157572
"66";13,0998021636392
"67";23,4595459288819
"68";54,4663332224826
"69";20,5817481613515
"70";25,7606644324953
"71";50,346902215939
"72";12,9227307958732
"73";45,2109058672209
"74";31,6799546075076
"75";19,5372218659753
"76";35,3650497378054
"77";21,4792388152416
"78";29,0333711204313
"79";24,5969807672545
"80";27,280059526655
"81";13,448966332678
"82";11,8671127139201
"83";51,7277839742593
"84";25,0985158431909
"85";55,7866892006984
"86";16,7760772509857
"87";26,3258772704433
"88";62,6932548226134
"89";20,5622497958032
"90";46,7039282423762
"91";20,8917211536039
"92";20,1310245609091
"93";18,9594176167825
"94";19,2541994488194
"95";54,4098740387036
"96";11,062074083395
"97";54,8079938695129
"98";19,7955814709198
"99";19,8987127530918
"100";52,2902001102283
"101";21,9718045083379
"102";14,6706108860158
"103";50,1965103108795
"104";20,8274010820377
"105";46,9560600993819
"106";47,0548357018224
"107";24,8852744803485
"108";44,2721355276903
"109";19,4680000882784
"110";25,7409180189131
"111";42,1724306278005
"112";41,6614134950311
"113";31,7726970606866
"114";45,8585366415627
"115";58,8306081979063
"116";15,4892702765076
"117";24,9615001157689
"118";64,0272807629923
"119";22,7295207447595
"120";50,6754615090647
"121";49,5655134946807
"122";24,5458051479546
"123";67,6516956632262
"124";10,6325512296339
"125";46,1699377901491
"126";18,8142937799437
"127";22,6128803667904
"128";42,2798944390856
"129";22,1548980565268
"130";52,994500067308
"131";25,1538998172526
"132";20,5685670500279
"133";49,0309083074887
"134";28,3420313450494
"135";22,6904592029659
"136";51,9822759255319
"137";47,8106955127771
"138";15,8621828589271
"139";20,2980952527271
"140";30,9465210784876
"141";23,7966648380425
"142";17,6658599830136
"143";45,0070992194589
"144";17,4655411771733
"145";41,7233349694165
"146";65,4999318705805
"147";44,7000855357132
"148";20,2315602946732
"149";60,5793093392831
"150";19,5643647756154
"151";16,6881812721048
"152";20,2758889426931
"153";19,5647697970064
"154";19,383225912476
"155";52,8790184555872
"156";22,9563013376428
"157";19,2208532021129
"158";30,5786408377815
"159";27,0609164948761
"160";52,7578754466762
"161";18,1864139929957
"162";18,3887529592747
"163";39,2232663266106
"164";9,35136773110666
"165";14,8322746223921
"166";62,0624444749418
"167";20,8697675985823
"168";21,357501287677
"169";52,3105651817512
"170";22,0554124574785
"171";23,0528103113579
"172";24,6074388606799
"173";17,2868199338739
"174";22,2782720301824
"175";20,2904941001423
"176";58,1760544868891
"177";22,9502182524661
"178";48,1990137627606
"179";13,2729842402262
"180";17,0850282659362
"181";12,0476468352649
"182";23,6414671362629
"183";21,0727184800403
"184";16,3754094991421
"185";45,8647324163864
"186";23,7233957117482
"187";14,6261295506216
"188";17,6964497212192
"189";49,8365888249016
"190";58,2026349427407
